iter	MultiClass
0	1.460448098
1	1.23863908
2	1.083068228
3	0.9716857669
4	0.8734152846
5	0.7952783919
6	0.7317341606
7	0.6751716484
8	0.6281926533
9	0.587590008
10	0.5511369088
11	0.5199300318
12	0.491960809
13	0.4678901775
14	0.4460915573
15	0.4269027083
16	0.4103630044
17	0.3935984888
18	0.3787194407
19	0.3666649422
20	0.3554403784
21	0.3441594568
22	0.3348855147
23	0.3257154169
24	0.3178901799
25	0.3102126532
26	0.3031321184
27	0.296592548
28	0.2907197006
29	0.2856808177
30	0.2824287483
31	0.2793935992
32	0.2753211253
33	0.2729803832
34	0.2692681651
35	0.2656791189
36	0.2634271358
37	0.2615978615
38	0.2590904543
39	0.2572536264
40	0.253093303
41	0.2500870398
42	0.2473363508
43	0.2449638817
44	0.2428171132
45	0.2402360274
46	0.238157135
47	0.2358379547
48	0.2339063635
49	0.2318692445
50	0.2305160786
51	0.2283177237
52	0.2277849369
53	0.2260198771
54	0.224229795
55	0.2222969647
56	0.2203896166
57	0.2185985962
58	0.2176069083
59	0.2157324315
60	0.2139347449
61	0.2130860347
62	0.2116229196
63	0.2103519096
64	0.2090154218
65	0.2076803323
66	0.2066402201
67	0.2062563151
68	0.2051859693
69	0.2044627177
70	0.2032734402
71	0.2015807928
72	0.2004690315
73	0.1998405619
74	0.1992366931
75	0.1981459746
76	0.1971624303
77	0.1960324629
78	0.1949396612
79	0.1941263535
80	0.1933743037
81	0.1917772007
82	0.1907015227
83	0.1894948142
84	0.1884198226
85	0.1875839614
86	0.1869029396
87	0.1857786565
88	0.1850620664
89	0.1840279111
90	0.1834749215
91	0.1825221718
92	0.1818528689
93	0.1815256159
94	0.1805082068
95	0.1799932714
96	0.1785062693
97	0.1773995683
98	0.1765783227
99	0.1753348678
