iter	Passed	Remaining
0	5	505
1	8	432
2	12	397
3	15	378
4	19	365
5	22	349
6	25	338
7	28	332
8	32	325
9	35	318
10	39	316
11	42	314
12	46	309
13	49	305
14	52	299
15	56	294
16	59	291
17	63	288
18	66	283
19	69	278
20	72	274
21	76	271
22	80	269
23	84	266
24	88	264
25	91	260
26	94	256
27	98	252
28	101	249
29	105	245
30	109	242
31	112	238
32	115	233
33	118	229
34	121	225
35	124	221
36	128	218
37	131	214
38	134	210
39	137	206
40	141	203
41	144	199
42	147	196
43	151	192
44	154	188
45	157	185
46	161	181
47	164	178
48	167	174
49	170	170
50	174	167
51	177	163
52	180	159
53	183	156
54	186	152
55	189	148
56	192	145
57	195	141
58	198	138
59	201	134
60	205	131
61	208	127
62	211	124
63	215	121
64	218	117
65	221	114
66	224	110
67	227	107
68	231	103
69	234	100
70	237	97
71	241	93
72	245	90
73	248	87
74	251	83
75	254	80
76	258	77
77	262	73
78	265	70
79	268	67
80	272	63
81	276	60
82	279	57
83	283	53
84	286	50
85	290	47
86	293	43
87	296	40
88	300	37
89	303	33
90	306	30
91	310	26
92	313	23
93	316	20
94	320	16
95	323	13
96	327	10
97	330	6
98	334	3
99	337	0
